2021-01-18 10:41:28.054743,cat,new
2021-01-18 10:43:00.679638,cat,repeat
2021-01-18 10:44:29.586691,cat,repeat
2021-01-18 10:44:58.331700,dog,new
2021-01-18 10:45:19.454921,dog,repeat
2021-01-18 10:47:05.818489,dog,repeat
2021-01-18 10:48:58.561030,dog,repeat
2021-01-18 10:49:08.452691,dog,repeat
2021-01-18 10:49:21.622776,dog,repeat
2021-01-18 10:49:43.343798,cat,repeat
2021-01-18 10:49:48.331842,cat,repeat
2021-01-18 10:51:44.823635,cat,repeat
2021-01-18 10:52:56.646021,cat,repeat
2021-01-18 10:53:01.480105,dog,repeat
2021-01-18 10:53:08.030979,tree,new
2021-01-18 11:14:07.904487,dog,repeat
2021-01-18 11:17:34.066134,dog,repeat
2021-01-18 11:18:26.801875,cat,repeat
2021-01-18 11:18:35.740955,dog,repeat
2021-01-18 11:21:06.958950,cat,repeat
2021-01-18 11:21:52.494278,cat,repeat
2021-01-18 11:23:01.079334,dog,repeat
2021-01-18 11:24:13.322267,dog,repeat
2021-01-18 11:24:50.391077,dog,repeat
2021-01-18 11:25:52.789778,dog,repeat
2021-01-18 11:27:21.021443,dog,repeat
2021-01-18 11:28:12.631193,dog,repeat
2021-01-18 11:29:32.618406,cat,repeat
2021-01-18 11:29:47.350720,dog,repeat
2021-01-18 11:32:55.357263,cat,repeat
2021-01-18 11:33:00.418255,dog,repeat
2021-01-18 11:36:44.198750,cat,repeat
2021-01-18 11:43:14.969772,cat,repeat
2021-01-18 11:43:19.687991,dog,repeat
2021-01-18 11:43:51.602558,dog,repeat
2021-01-18 11:48:11.888718,dog,repeat
2021-01-18 11:50:09.825841,dog,repeat
2021-01-18 11:55:34.319527,dog,repeat
2021-01-18 11:58:07.231404,dog,new
2021-01-18 11:58:15.223502,cat,new
2021-01-18 11:58:25.554110,dog,repeat
2021-01-18 11:59:11.799334,cat,repeat
2021-01-18 12:00:43.638422,cat,repeat
2021-01-18 12:00:50.462646,kitty,new
2021-01-18 12:01:04.165908,neko,new
2021-01-18 12:03:07.129418,sahil,new
2021-01-18 12:04:44.422157,cat,new
2021-01-18 12:04:52.719655,dog,new
2021-01-18 12:08:19.878612,messi,new
2021-01-18 12:08:44.966773,Ronaldo,new
2021-01-18 12:11:35.954783,reshi,new
2021-01-18 12:11:51.060167,Jennifer,new
2021-01-18 12:12:10.123419,cricket,new
2021-01-18 12:12:26.971727,football,new
2021-01-18 12:13:40.960179,dog,repeat
2021-01-18 12:14:04.016590,yash,new
2021-01-18 12:37:32.108422,sexy Reshikesh,new
2021-01-18 12:57:19.920193,lion,new
2021-01-18 12:58:09.191853,tiger,new
2021-01-18 12:59:45.365059,pigeon,new
2021-01-18 13:04:09.385997,car,new
2021-01-18 13:05:35.119361,truck,new
